above_threshold,ari,case_name,changepoints,duplicate_rate,duplicate_rate_conditional_on_hit,event_recall,experiment,f1,fn,fp,label_accuracy,localization_error,max_abs_error,max_score,mean_abs_error,mean_num_detections,mean_posterior_entropy,meta_ablation,meta_distance_type,meta_hazard,meta_horizon,meta_metric,meta_placeholder,meta_use_global,meta_use_prototypes,meta_variant,meta_window,method,nmi,num_detected,param_centered,param_d,param_delta,param_delta_rho,param_demeaned,param_epsilon,param_garch_noise,param_magnitude,param_mean_shift,param_mode_separation,param_n_after,param_n_before,param_n_changepoints,param_n_factors,param_n_per_segment,param_noise_level,param_nu,param_persistent,param_regime_duration,param_rho1,param_seed,param_serial_dependence,param_shift_family,param_shock_length,param_shock_type,param_signal_strength,param_similarity,param_sparsity,param_volatility_ratio,param_window_length,precision,recall,resource_name,resource_source,resource_url,threshold,tp,unavailable
nan,,gaussian_mean_variance,35;65;185;200;215,,,,A1,0.0,1.0,5.0,,nan,nan,0.0,nan,,,,,,,,,,,,,pelt_l2,,5.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,PELT-L2,"Killick, Fearnhead, Eckley (2012); ruptures PELT documentation",https://ctruong.perso.math.cnrs.fr/ruptures-docs/build/html/detection/pelt.html,nan,0.0,0.0
nan,,gaussian_mean_variance,15;30;45;60;75;90;110;125;145;160;180;200;215,,,,A1,0.14285714285714288,0.0,12.0,,5.0,5.0,0.0,5.0,,,,,,,,,,,,,pelt_normal,,13.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.07692307692307693,1.0,PELT-normal,ruptures documentation,https://centre-borelli.github.io/ruptures-docs/,nan,1.0,0.0
nan,,gaussian_mean_variance,,,,,A1,0.0,1.0,0.0,,nan,nan,0.0,nan,,,,,,,,,,,,,pelt_rbf,,0.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,PELT-RBF,ruptures documentation,https://centre-borelli.github.io/ruptures-docs/,nan,0.0,0.0
nan,,gaussian_mean_variance,215,,,,A1,0.0,1.0,1.0,,nan,nan,0.0,nan,,,,,,,,,,,,,binseg,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,Binary Segmentation,ruptures documentation,https://centre-borelli.github.io/ruptures-docs/,nan,0.0,0.0
1.0,,gaussian_mean_variance,225,,,,A1,0.0,1.0,1.0,,nan,nan,10.892499142851328,nan,,,,,,,,,,,,,cusum_mean,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,CUSUM mean alarm,Classic cumulative-sum sequential monitoring,https://en.wikipedia.org/wiki/CUSUM,10.70773418393054,0.0,0.0
1.0,,gaussian_mean_variance,221,,,,A1,0.0,1.0,1.0,,nan,nan,26.73724845358177,nan,,,,,,,,,,,,,cusum_vol,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,CUSUM volatility alarm,Classic CUSUM applied to squared returns,https://en.wikipedia.org/wiki/CUSUM,26.066926013269846,0.0,0.0
0.0,,gaussian_mean_variance,,,,,A1,0.0,1.0,0.0,,nan,nan,0.008333333333333337,nan,,,,,0.008333333333333333,,,,,,,,bocpd_gaussian,,0.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,Bayesian Online Change Point Detection,"Adams and MacKay, Bayesian Online Changepoint Detection, arXiv:0710.3742; dtolpin/bocd",https://arxiv.org/abs/0710.3742,0.5,0.0,0.0
1.0,,gaussian_mean_variance,191,,,,A1,0.0,1.0,1.0,,nan,nan,0.3265725569745057,nan,,,,,,,,,,,,,coordinate_w2_window_scan,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,Coordinate-wise W2 window scan,"Cheng et al., Optimal Transport Based Change Point Detection and Time Series Segment Clustering, arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.3248242426017389,0.0,0.0
1.0,,gaussian_mean_variance,194,,,,A1,0.0,1.0,1.0,,nan,nan,0.2981050850687854,nan,,,,,,,,,,,,,coordinate_w2_matched_filter,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.2978811810661762,0.0,0.0
1.0,,gaussian_mean_variance,126;156;195,,,,A1,0.5,0.0,2.0,,6.0,6.0,0.34966509330545026,6.0,,,full,sliced,,80,sliced_wasserstein,False,True,True,proposed_full,30,proposed_full,,3.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.3333333333333333,1.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.3171967289811054,1.0,0.0
1.0,,gaussian_mean_variance,,,,,A1,0.0,1.0,0.0,,nan,nan,0.34966509330545026,nan,,,local_only,sliced,,80,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,30,proposed_local_persistence_proxy,,0.0,,5,,,,,,,0.2,,,,,,120,,,,,,0,,,,,,,,1.25,,0.0,0.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.3171967289811054,0.0,0.0
nan,,gaussian_mean_variance,75;115;155;170,,,,A1,0.4,0.0,3.0,,5.0,5.0,0.0,5.0,,,,,,,,,,,,,pelt_l2,,4.0,,5,,,,,,,0.2,,,,,,120,,,,,,1,,,,,,,,1.25,,0.25,1.0,PELT-L2,"Killick, Fearnhead, Eckley (2012); ruptures PELT documentation",https://ctruong.perso.math.cnrs.fr/ruptures-docs/build/html/detection/pelt.html,nan,1.0,0.0
nan,,gaussian_mean_variance,20;40;55;70;85;110;125;145;160;175;195;210;225,,,,A1,0.14285714285714288,0.0,12.0,,5.0,5.0,0.0,5.0,,,,,,,,,,,,,pelt_normal,,13.0,,5,,,,,,,0.2,,,,,,120,,,,,,1,,,,,,,,1.25,,0.07692307692307693,1.0,PELT-normal,ruptures documentation,https://centre-borelli.github.io/ruptures-docs/,nan,1.0,0.0
nan,,gaussian_mean_variance,,,,,A1,0.0,1.0,0.0,,nan,nan,0.0,nan,,,,,,,,,,,,,pelt_rbf,,0.0,,5,,,,,,,0.2,,,,,,120,,,,,,1,,,,,,,,1.25,,0.0,0.0,PELT-RBF,ruptures documentation,https://centre-borelli.github.io/ruptures-docs/,nan,0.0,0.0
nan,,gaussian_mean_variance,155,,,,A1,0.0,1.0,1.0,,nan,nan,0.0,nan,,,,,,,,,,,,,binseg,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,1,,,,,,,,1.25,,0.0,0.0,Binary Segmentation,ruptures documentation,https://centre-borelli.github.io/ruptures-docs/,nan,0.0,0.0
1.0,,gaussian_mean_variance,238,,,,A1,0.0,1.0,1.0,,nan,nan,20.994178183378203,nan,,,,,,,,,,,,,cusum_mean,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,1,,,,,,,,1.25,,0.0,0.0,CUSUM mean alarm,Classic cumulative-sum sequential monitoring,https://en.wikipedia.org/wiki/CUSUM,20.391880246856758,0.0,0.0
1.0,,gaussian_mean_variance,233,,,,A1,0.0,1.0,1.0,,nan,nan,186.45358079533804,nan,,,,,,,,,,,,,cusum_vol,,1.0,,5,,,,,,,0.2,,,,,,120,,,,,,1,,,,,,,,1.25,,0.0,0.0,CUSUM volatility alarm,Classic CUSUM applied to squared returns,https://en.wikipedia.org/wiki/CUSUM,185.6506112945748,0.0,0.0
0.0,,gaussian_mean_variance,,,,,A1,0.0,1.0,0.0,,nan,nan,0.008333333333333338,nan,,,,,0.008333333333333333,,,,,,,,bocpd_gaussian,,0.0,,5,,,,,,,0.2,,,,,,120,,,,,,1,,,,,,,,1.25,,0.0,0.0,Bayesian Online Change Point Detection,"Adams and MacKay, Bayesian Online Changepoint Detection, arXiv:0710.3742; dtolpin/bocd",https://arxiv.org/abs/0710.3742,0.5,0.0,0.0
