experiment,frac_above_threshold,mean_f1,mean_max_score,mean_num_detected,mean_recall,mean_threshold,method,n_runs
A1,0.0,0.0,0.008333333333333337,0.0,0.0,0.5,bocpd_gaussian,4
A1,1.0,0.5,0.4039773735970231,1.0,0.5,0.4029613274322233,coordinate_w2_matched_filter,4
A1,1.0,0.75,0.5002605834758448,1.0,0.75,0.48748942932928874,coordinate_w2_window_scan,4
A1,1.0,0.0,26.649027061010706,1.0,0.0,26.001389178030095,cusum_mean,4
A1,1.0,0.0,153.09913666583975,1.0,0.0,152.55443889669755,cusum_vol,4
A1,1.0,0.5,0.5120880043869245,0.5,0.5,0.4858672149929925,proposed_full,4
A1,1.0,0.0,0.5120880043869245,0.0,0.0,0.4858672149929925,proposed_local_persistence_proxy,4
A2,1.0,0.0,0.45254116423124835,1.0,0.0,0.44952234514072853,coordinate_w2_matched_filter,4
A2,1.0,0.16666666666666666,18.88890205950409,1.5,0.25,18.460022623150223,cusum_vol,4
A2,1.0,0.0,0.7725925925925932,1.0,0.0,0.7068703703703706,cvm,4
A2,1.0,0.0,0.32251848447340753,1.0,0.0,0.28023716201461113,energy,4
A2,1.0,0.0,14.360149205134784,2.0,0.0,10.830812919392674,ewma_vol,4
A2,1.0,0.0,0.3861111111111112,1.0,0.0,0.3666666666666665,ks,4
A2,1.0,0.0,0.15167678970647946,1.0,0.0,0.13631161411466577,mmd,4
A2,1.0,0.0,0.7286207352917998,0.75,0.0,0.6375407114751821,proposed_full,4
A3,1.0,0.26785714285714285,0.008333333333333335,6.5,1.0,0.008333333333333335,bocpd_gaussian,4
A3,0.0,0.0,4.450520007565734,0.0,0.0,6.069568289800507,coordinate_w2_matched_filter,4
A3,0.0,0.0,0.8505010609482473,0.0,0.0,1.4622149421382924,energy,4
A3,0.25,0.25,0.41666666666666663,0.25,0.25,0.4405555555555556,ks,4
A3,0.25,0.25,0.1831225697400624,0.25,0.25,0.20288875254764652,mmd,4
A3,0.0,0.0,6.488274090006811,0.0,0.0,9.944243658219095,proposed_full,4
A4,0.0,0.0,2.527716074482111,0.0,0.0,2.896417786853903,bures,4
A4,0.5,0.0,0.3889235536532233,0.5,0.0,0.2981419784619329,coordinate_w2t,4
A4,0.5,0.0,0.7013895249795206,0.5,0.0,0.5777812092580857,energy,4
A4,0.5,0.0,0.30972222222222223,0.5,0.0,0.27894444444444444,ks,4
A4,0.5,0.0,0.0993939684149674,0.5,0.0,0.08521714792309339,mmd,4
A4,0.0,0.0,2.527716074482111,0.0,0.0,2.896417786853903,proposed_full,4
A4,0.0,0.0,2.527716074482111,0.0,0.0,2.896417786853903,proposed_local_global_no_proto,4
A4,0.5,0.0,0.4245241791786463,0.5,0.0,0.36026983111898125,sliced_wasserstein,4
A5,1.0,0.5,8.979715197753197,1.0,0.5,8.612763828210985,bures,4
A5,1.0,0.16666666666666666,6.057142859536773,1.75,0.25,5.964224482588506,covariance_frobenius,4
A5,1.0,0.0,0.05176755307393543,1.0,0.0,0.049904562025004776,mmd,4
A5,1.0,0.16666666666666666,1.4142090619428762,1.75,0.25,1.414174612730673,pca_subspace,4
A5,1.0,0.25,8.979715197753197,1.0,0.25,8.613515012128348,proposed_full,4
A5,1.0,0.0,0.38722579311400174,1.0,0.0,0.37843679017633924,sliced_wasserstein,4
A6,0.5,0.125,0.00400025601638505,1.5,0.25,0.00400025601638505,bocpd_gaussian,4
A6,0.75,0.5,0.8585649838535008,1.25,0.625,0.26488110846173163,coordinate_w2_matched_filter,4
A6,0.5,0.0,25.90626326604046,0.5,0.0,25.056140383381305,cusum_mean,4
A6,0.25,0.16666666666666666,19.0596644237267,0.5,0.25,14.097804657201891,ewma_vol,4
A6,0.25,0.25,0.10229726643217088,0.25,0.25,0.0865233748388419,mmd,4
A6,0.5,0.33333333333333337,1.1106069102417129,1.5,0.5,0.4129586188605001,proposed_full,4
A6,0.5,0.15476190476190477,1.1106069102417129,2.75,0.5,0.4129586188605001,proposed_local_only,4
A6,0.5,0.15476190476190477,1.1106069102417129,2.75,0.5,0.4129586188605001,proposed_local_persistence_proxy,4
A7,0.125,0.125,0.1132621859201737,0.125,0.125,0.17702085892338412,coordinate_w2_matched_filter,32
A7,0.09375,0.09375,0.03811902937697539,0.09375,0.09375,0.06966791684009921,mmd,32
A7,0.1875,0.0,0.1833659919543261,0.0,0.0,0.2821312263788506,proposed_full,32
A7,0.1875,0.15625,0.1833659919543261,0.15625,0.15625,0.2821312263788506,proposed_local_persistence_proxy,32
A7,0.09375,0.09375,0.03811902937697539,0.09375,0.09375,0.06966791684009921,window_rbf,32
A_regime,1.0,0.33333333333333337,0.5580130403708133,1.0,0.2,0.5570415990408442,coordinate_w2_matched_filter,2
A_regime,1.0,0.45238095238095244,0.6668006786075154,1.5,0.30000000000000004,0.6512552242309066,proposed_full,2
A_regime,1.0,0.33333333333333337,0.6668006786075154,1.0,0.2,0.6512552242309066,proposed_local_proto_no_global,2
A_regime,nan,nan,nan,nan,nan,nan,rolling_feature_kmeans,2
